80,atua,god,4,Pending,25.3.2025,1,4
81,haka,war dance,4,Pending,25.3.2025,1,4
82,haki,flag,4,Pending,25.3.2025,1,7
83,karakia,prayer,4,Pending,25.3.2025,1,6
84,kehua,ghost,4,Pending,25.3.2025,1,2
85,kete,basket,4,Pending,25.3.2025,1,3
86,marae,marae,4,Pending,25.3.2025,1,9
87,mauri,life spirit,4,Pending,25.3.2025,1,2
88,pounamu,greenstone,4,Pending,25.3.2025,1,5
89,wairua,spirit,4,Pending,25.3.2025,1,2
90,haunga,smelly,5,Pending,25.3.2025,1,2
91,kahurangi,blue,5,Pending,25.3.2025,1,2
92,kakariki,green,5,Pending,25.3.2025,1,10
93,kano,colour,5,Pending,25.3.2025,1,8
94,karaka,orange,5,Pending,25.3.2025,1,1
95,koi,sharp,5,Pending,25.3.2025,1,8
96,kowhai,yellow,5,Pending,25.3.2025,1,4
97,kura,red,5,Pending,25.3.2025,1,1
98,ma,white,5,Pending,25.3.2025,1,10
99,mahana,warm,5,Pending,25.3.2025,1,10
100,mama,easy,5,Pending,25.3.2025,1,1
101,mamae,sore,5,Pending,25.3.2025,1,4
102,matao,cold,5,Pending,25.3.2025,1,1
103,matekai,hungry,5,Pending,25.3.2025,1,6
104,nuinga,majority,5,Pending,25.3.2025,1,8
105,paku,small,5,Pending,25.3.2025,1,7
106,pakupaku,very small,5,Pending,25.3.2025,1,6
107,pango,black,5,Pending,25.3.2025,1,9
108,parauri,brown,5,Pending,25.3.2025,1,10
109,poto,short,5,Pending,25.3.2025,1,7
110,pukaha,engine,5,Pending,25.3.2025,1,10
111,reka,sweet,5,Pending,25.3.2025,1,6
112,toa,brave,5,Pending,25.3.2025,1,9
113,aroha,love,6,Pending,25.3.2025,1,8
114,awangawanga,worried,6,Pending,25.3.2025,1,10
115,harikoa,happy,6,Pending,25.3.2025,1,6
116,kao,no!,6,Pending,25.3.2025,1,10
117,kino,bad,6,Pending,25.3.2025,1,7
118,koa,happy,6,Pending,25.3.2025,1,5
119,mataku,scared,6,Pending,25.3.2025,1,8
120,mokemoke,lonely,6,Pending,25.3.2025,1,5
121,roimata,tears,6,Pending,25.3.2025,1,9
122,tangi,to cry,6,Pending,25.3.2025,1,1
123,aihikirimi,ice cream,7,Pending,25.3.2025,1,8
124,aporo,apple,7,Pending,25.3.2025,1,7
125,hakari,feast,7,Pending,25.3.2025,1,6
126,hangi,oven,7,Pending,25.3.2025,1,1
127,heki,egg,7,Pending,25.3.2025,1,9
128,hinu,oil,7,Pending,25.3.2025,1,7
129,hua,fruit,7,Pending,25.3.2025,1,3
130,huka,sugar,7,Pending,25.3.2025,1,4
131,inu,to drink,7,Pending,25.3.2025,1,4
132,kai,food,7,Pending,25.3.2025,1,10
133,kaimoana,seafood,7,Pending,25.3.2025,1,5
134,kakano,seed,7,Pending,25.3.2025,1,6
135,kanga,corn,7,Pending,25.3.2025,1,1
136,kapu,cup,7,Pending,25.3.2025,1,9
137,kareti,carrot,7,Pending,25.3.2025,1,9
138,keke,cake,7,Pending,25.3.2025,1,10
139,kohua,to boil,7,Pending,25.3.2025,1,9
140,kumara,sweet potato,7,Pending,25.3.2025,1,7
141,miere,honey,7,Pending,25.3.2025,1,7
142,miraka,milk,7,Pending,25.3.2025,1,2
143,miti,meat,7,Pending,25.3.2025,1,1
144,panana,banana,7,Pending,25.3.2025,1,3
145,parakuihi,breakfast,7,Pending,25.3.2025,1,10
146,pata,butter,7,Pending,25.3.2025,1,6
147,patiki,flounder (fish),7,Pending,25.3.2025,1,2
148,paua,abalone,7,Pending,25.3.2025,1,7
149,pea,pear,7,Pending,25.3.2025,1,7
150,pekana,bacon,7,Pending,25.3.2025,1,8
151,riwai,potato,7,Pending,25.3.2025,1,2
152,tao,to cook,7,Pending,25.3.2025,1,4
153,ti,tea,7,Pending,25.3.2025,1,5
154,tote,salt,7,Pending,25.3.2025,1,5
155,wai,water,7,Pending,25.3.2025,1,2
156,wai,juice,7,Pending,25.3.2025,1,3
157,haurua,half,8,Pending,25.3.2025,1,2
158,hia,how many?,8,Pending,25.3.2025,1,9
159,iwa,nine,8,Pending,25.3.2025,1,6
160,kaute,to count,8,Pending,25.3.2025,1,6
161,kauwhata,graph,8,Pending,25.3.2025,1,3
162,kiromita,kilometre,8,Pending,25.3.2025,1,7
163,kotahi,one,8,Pending,25.3.2025,1,2
164,maha,many,8,Pending,25.3.2025,1,5
165,mano,thousand,8,Pending,25.3.2025,1,8
166,miriona,million,8,Pending,25.3.2025,1,10
167,mita,metre,8,Pending,25.3.2025,1,4
168,nama,number,8,Pending,25.3.2025,1,2
169,ono,six,8,Pending,25.3.2025,1,10
170,pae,circumference,8,Pending,25.3.2025,1,8
171,pangarau,mathematics,8,Pending,25.3.2025,1,6
172,rau,hundred,8,Pending,25.3.2025,1,10
173,rima,five,8,Pending,25.3.2025,1,5
174,rua,two,8,Pending,25.3.2025,1,7
175,tekau,ten,8,Pending,25.3.2025,1,5
176,toru,three,8,Pending,25.3.2025,1,8
177,tuarua,second,8,Pending,25.3.2025,1,8
178,tuatahi,first,8,Pending,25.3.2025,1,4
179,tuatoru,third,8,Pending,25.3.2025,1,9
180,tuawha,fourth,8,Pending,25.3.2025,1,3
181,wha,four,8,Pending,25.3.2025,1,5
182,ahi,fire,9,Pending,25.3.2025,1,8
183,ana,cave,9,Pending,25.3.2025,1,4
184,anga,shell,9,Pending,25.3.2025,1,3
185,aorangi,planet,9,Pending,25.3.2025,1,1
186,ara,path,9,Pending,25.3.2025,1,4
187,auahi,smoke,9,Pending,25.3.2025,1,1
188,awa,river,9,Pending,25.3.2025,1,4
189,awatea,daylight,9,Pending,25.3.2025,1,1
190,haerenga,journey,9,Pending,25.3.2025,1,3
191,harakeke,flax,9,Pending,25.3.2025,1,8
192,huka,ice,9,Pending,25.3.2025,1,3
193,kapua,cloud,9,Pending,25.3.2025,1,8
194,kirikiri,sand,9,Pending,25.3.2025,1,2
195,kohanga,nest,9,Pending,25.3.2025,1,5
196,kohatu,stone,9,Pending,25.3.2025,1,3
197,makariri,cold,9,Pending,25.3.2025,1,1
198,manga,stream,9,Pending,25.3.2025,1,9
199,mara,garden,9,Pending,25.3.2025,1,5
200,marangai,rain,9,Pending,25.3.2025,1,10
201,maunga,mountain,9,Pending,25.3.2025,1,1
202,moana,sea,9,Pending,25.3.2025,1,7
203,motu,island,9,Pending,25.3.2025,1,8
204,ngahere,forest,9,Pending,25.3.2025,1,1
205,ngaru,wave,9,Pending,25.3.2025,1,9
206,pohatu,stone,9,Pending,25.3.2025,1,6
207,puke,hill,9,Pending,25.3.2025,1,3
208,waiariki,hot spring,9,Pending,25.3.2025,1,10
209,waka,canoe,9,Pending,25.3.2025,1,8
210,ariki,leader,10,Pending,25.3.2025,1,6
211,hapu,pregnant,10,Pending,25.3.2025,1,2
212,hauora,healthy,10,Pending,25.3.2025,1,9
213,hinengaro,intellect,10,Pending,25.3.2025,1,2
214,hoa,friend,10,Pending,25.3.2025,1,6
215,hoariri,enemy,10,Pending,25.3.2025,1,7
216,hoia,soldier,10,Pending,25.3.2025,1,1
217,ihu,nose,10,Pending,25.3.2025,1,2
218,iwi,tribe,10,Pending,25.3.2025,1,8
219,kaikorero,speaker,10,Pending,25.3.2025,1,2
220,kaimahi,worker,10,Pending,25.3.2025,1,3
221,kaiputaiao,scientist,10,Pending,25.3.2025,1,7
222,kaituhi,author,10,Pending,25.3.2025,1,4
223,kaiwhakahaere,manager,10,Pending,25.3.2025,1,2
224,kaki,neck,10,Pending,25.3.2025,1,2
225,kamo,eye,10,Pending,25.3.2025,1,8
226,kanohi,face,10,Pending,25.3.2025,1,7
227,kapene,captain,10,Pending,25.3.2025,1,4
228,karani,grandmother,10,Pending,25.3.2025,1,1
229,karere,messenger,10,Pending,25.3.2025,1,4
230,karu,eye,10,Pending,25.3.2025,1,9
231,kaumatua,elder,10,Pending,25.3.2025,1,8
232,kawanatanga,government,10,Pending,25.3.2025,1,1
233,kiri,skin,10,Pending,25.3.2025,1,6
234,koka,aunt,10,Pending,25.3.2025,1,3
235,kotiro,girl,10,Pending,25.3.2025,1,8
236,kuini,queen,10,Pending,25.3.2025,1,10
237,mahunga,head,10,Pending,25.3.2025,1,1
238,mama,mother,10,Pending,25.3.2025,1,8
239,mana,honour,10,Pending,25.3.2025,1,4
240,manawa,heart,10,Pending,25.3.2025,1,10
241,manuhiri,guest,10,Pending,25.3.2025,1,6
242,mokopuna,grandchild,10,Pending,25.3.2025,1,2
243,nanakia,rascal,10,Pending,25.3.2025,1,6
244,niho,tooth,10,Pending,25.3.2025,1,9
245,pani,orphan,10,Pending,25.3.2025,1,10
246,pepi,baby,10,Pending,25.3.2025,1,6
247,pirihimana,police officer,10,Pending,25.3.2025,1,5
248,pukapuka,lungs,10,Pending,25.3.2025,1,4
